day,num_trip,max_tip,min_tip,med_tip,type
1,546,97.7,0,9.1,aliceblue
2,421,92,0,10,aliceblue
3,399,92,0,10.7,lightgrey
4,411,94.3,0,11.8,lightgrey
5,435,95.9,0,12,lightgrey
6,457,94.7,0,12.1,lightgrey
7,472,94.7,0,10.5,lightgrey
8,500,95.7,0,9.5,aliceblue
9,432,94.5,0,10,aliceblue
10,395,95.9,0,11.1,lightgrey
11,391,97,0,11.8,lightgrey
12,432,95.3,0,12.5,lightgrey
13,450,98.3,0,11.9,lightgrey
14,476,93,0,11.2,lightgrey
15,492,92.5,0,10,aliceblue
16,428,94.3,0,10.5,aliceblue
17,391,95.3,0,11.5,lightgrey
18,442,96,0,12.3,lightgrey
19,443,93.3,0,12.4,lightgrey
20,442,94.9,0,11.5,lightgrey
21,479,95.2,0,11.1,lightgrey
22,499,93.7,0,10,aliceblue
23,412,95.1,0,10,aliceblue
24,388,98,0,10.5,lightgrey
25,397,94,0,10.5,lightgrey
26,413,96.1,0,9.1,lightgrey
27,287,93.6,0,0,lightgrey
28,337,93.3,0,0,lightgrey
29,383,95.2,0,0,aliceblue
30,359,96.9,0,8.7,aliceblue
